"","Keratinocyte","TSK","Melanocyte"
"spot 258",0.896,0,0.104
"spot 259",0.8507,0.0096,0.1397
"spot 260",0.5558,0.3498,0.0944
"spot 261",1,0,0
"spot 262",1,0,0
"spot 263",0.5173,0.4827,0
"spot 264",0.3996,0.6004,0
"spot 265",1,0,0
"spot 266",0.7559,0.2441,0
"spot 267",0.7975,0.2025,0
"spot 268",0.5578,0.4422,0
"spot 269",0.6816,0.2668,0.0516
"spot 270",0.628,0.372,0
"spot 271",0.7737,0.2263,0
"spot 272",0.8421,0.1579,0
"spot 273",1,0,0
"spot 274",0.9432,0.0568,0
"spot 275",0.8071,0.1929,0
"spot 276",1,0,0
"spot 277",1,0,0
"spot 278",0.5865,0.4135,0
"spot 279",0.496,0.504,0
"spot 280",0.7554,0.232,0.0126
"spot 281",1,0,0
"spot 282",1,0,0
"spot 283",1,0,0
"spot 284",0.8818,0,0.1182
"spot 285",0.9169,0.0831,0
"spot 286",0.7768,0.2232,0
"spot 287",1,0,0
"spot 288",0.2002,0.7998,0
"spot 289",0.7405,0,0.2595
"spot 290",0.4995,0.5005,0
"spot 291",0.4775,0.5225,0
"spot 292",0.813,0.187,0
"spot 293",0.7624,0.2376,0
"spot 294",0.8966,0.1034,0
"spot 295",1,0,0
"spot 296",0.6973,0.3027,0
"spot 297",0.7893,0.2107,0
"spot 298",0.7228,0.2772,0
"spot 299",0.7497,0.2503,0
"spot 300",0.8219,0.1781,0
"spot 301",0.7518,0.2482,0
"spot 302",0.6831,0.3169,0
"spot 303",0.6239,0.3491,0.027
"spot 304",0.8755,0.1245,0
"spot 305",0.5944,0.3581,0.0475
"spot 306",1,0,0
"spot 307",1,0,0
"spot 308",1,0,0
"spot 309",1,0,0
"spot 310",1,0,0
"spot 311",0.7589,0.2411,0
"spot 312",0.9575,0.0425,0
"spot 313",0.9084,0.0916,0
"spot 314",0.9479,0.0521,0
"spot 315",0.6764,0.1403,0.1833
"spot 316",1,0,0
"spot 317",0.877,0.123,0
"spot 318",0.6121,0.3879,0
"spot 319",0.7319,0.2681,0
"spot 320",0.5663,0.4337,0
"spot 321",0.9179,0.0821,0
"spot 322",0.8169,0.1831,0
"spot 323",0.7392,0.2608,0
"spot 324",0.7461,0.2539,0
"spot 325",0.7907,0.2093,0
"spot 326",0.8182,0.1818,0
"spot 327",0.7342,0.2658,0
"spot 328",1,0,0
"spot 329",0.7588,0.2412,0
"spot 330",0.538,0.3639,0.0981
"spot 331",0.6385,0.3615,0
"spot 332",0.4607,0.4527,0.0866
"spot 333",1,0,0
"spot 334",0.7296,0.2704,0
"spot 335",1,0,0
"spot 336",1,0,0
"spot 337",1,0,0
"spot 338",1,0,0
"spot 339",0.6456,0.261,0.0934
"spot 340",0.8187,0.1009,0.0805
"spot 341",0.7912,0.2088,0
"spot 342",1,0,0
"spot 343",0.7065,0.2935,0
"spot 344",0.735,0.265,0
"spot 345",0.6397,0.341,0.0193
"spot 346",0.4794,0.5206,0
"spot 347",0.6281,0.3719,0
"spot 348",0.9142,0.0858,0
"spot 349",0.8849,0.1151,0
"spot 350",0.8558,0.1442,0
"spot 351",0.6272,0.3728,0
"spot 352",0.863,0.137,0
"spot 353",0.8229,0.08,0.0972
"spot 354",0.8224,0.1776,0
"spot 355",0.8924,0.1076,0
"spot 356",1,0,0
"spot 357",0.9285,0.0715,0
"spot 358",0.9357,0.0643,0
"spot 359",0.9921,0.0079,0
"spot 360",0.483,0.5,0.017
"spot 361",1,0,0
"spot 362",1,0,0
"spot 363",1,0,0
"spot 364",1,0,0
"spot 365",1,0,0
"spot 366",0.6979,0.3021,0
"spot 367",0.8764,0.1183,0.0053
"spot 368",0.7584,0.1965,0.045
"spot 369",0.7671,0,0.2329
"spot 370",0.9912,0.0088,0
"spot 371",0.8787,0.034,0.0872
"spot 372",0.4654,0.3032,0.2314
"spot 373",0.5774,0.4226,0
"spot 374",0.9978,0.0022,0
"spot 375",0.8765,0.1235,0
"spot 376",0.8539,0.1461,0
"spot 377",0.8996,0.1004,0
"spot 378",0.6569,0.3431,0
"spot 379",0.6348,0.3652,0
"spot 380",0.9922,0.0078,0
"spot 381",0.5839,0.2761,0.14
"spot 382",0.7803,0.2197,0
"spot 383",0.6745,0.3255,0
"spot 384",0.449,0.4471,0.104
"spot 385",0.6202,0.3798,0
"spot 386",0.6319,0.3681,0
"spot 387",0.8828,0.1172,0
"spot 388",1,0,0
"spot 389",1,0,0
"spot 390",1,0,0
"spot 391",1,0,0
"spot 392",1,0,0
"spot 393",0.8631,0.1369,0
"spot 394",0.9868,0.0132,0
"spot 395",0.636,0.364,0
"spot 396",0.5902,0.2671,0.1428
"spot 397",0.4932,0.4522,0.0546
"spot 398",0.7841,0.1936,0.0223
"spot 399",0.7673,0.2327,0
"spot 400",0.607,0.393,0
"spot 401",0.844,0.156,0
"spot 402",0.8882,0.1118,0
"spot 403",0.95,0.0353,0.0147
"spot 404",0.7878,0.2122,0
"spot 405",0.8179,0.1821,0
"spot 406",1,0,0
"spot 407",1,0,0
"spot 408",0.598,0.402,0
"spot 409",0.7762,0.2238,0
"spot 410",0.4681,0.3886,0.1433
"spot 411",0.85,0.15,0
"spot 412",0.7717,0.2283,0
"spot 413",0.544,0.4405,0.0155
"spot 414",1,0,0
"spot 415",1,0,0
"spot 416",1,0,0
"spot 417",1,0,0
"spot 418",0.9002,0.0998,0
"spot 419",0.5499,0.3138,0.1364
"spot 420",0.7766,0,0.2234
"spot 421",0.4015,0.5985,0
"spot 422",1,0,0
"spot 423",0.8657,0,0.1343
"spot 424",0.6992,0.3008,0
"spot 425",0.5296,0.4704,0
"spot 426",0.9513,0.0487,0
"spot 427",1,0,0
"spot 428",1,0,0
"spot 429",0.9813,0.0187,0
"spot 430",0.9895,0.0105,0
"spot 431",0.6634,0.2247,0.1119
"spot 432",1,0,0
"spot 433",0.8818,0.044,0.0742
"spot 434",1,0,0
"spot 435",0.9541,0.0459,0
"spot 436",0.9085,0.0915,0
"spot 437",0.6468,0.3532,0
"spot 438",0.7595,0.2405,0
"spot 439",1,0,0
"spot 440",0.9966,0.0034,0
"spot 441",1,0,0
"spot 442",0.9272,0.0728,0
"spot 443",1,0,0
"spot 444",1,0,0
"spot 445",0.4679,0.5321,0
"spot 446",0.5594,0.4406,0
"spot 447",0.924,0.076,0
"spot 448",0.2148,0.4846,0.3005
"spot 449",0.4719,0.5281,0
"spot 450",0.8125,0.1875,0
"spot 451",0.5835,0.4165,0
"spot 452",0.9732,0.0268,0
"spot 453",1,0,0
"spot 454",1,0,0
"spot 455",0.9199,0.0801,0
"spot 456",1,0,0
"spot 457",0.7434,0.2566,0
"spot 458",0.7024,0.2976,0
"spot 459",1,0,0
"spot 460",1,0,0
"spot 461",1,0,0
"spot 462",0.6914,0.3086,0
"spot 463",0.8204,0.1796,0
"spot 464",0.7818,0.2182,0
"spot 465",1,0,0
"spot 466",1,0,0
"spot 467",1,0,0
"spot 468",1,0,0
"spot 469",1,0,0
"spot 470",0.6735,0.3265,0
"spot 471",0.1536,0.7362,0.1102
"spot 472",0.436,0.2935,0.2706
"spot 473",0.4963,0.3648,0.1389
"spot 474",0.5401,0.4599,0
"spot 475",0.7216,0.1956,0.0828
"spot 476",0.4217,0.5783,0
"spot 477",0.852,0.148,0
"spot 478",0.9326,0.0674,0
"spot 479",1,0,0
"spot 480",1,0,0
"spot 481",0.856,0.144,0
"spot 482",1,0,0
"spot 483",0.5089,0.4911,0
"spot 484",0.9125,0,0.0875
"spot 485",0.815,0.185,0
