"","Keratinocyte","TSK","Melanocyte"
"spot 161",1,0,0
"spot 162",0.7547,0.2453,0
"spot 163",0.9494,0.0506,0
"spot 164",0.7832,0.2168,0
"spot 165",0.9751,0,0.0249
"spot 166",0.8016,0.1984,0
"spot 167",0.4787,0.4278,0.0934
"spot 168",0.8415,0.1585,0
"spot 169",0.6161,0.3839,0
"spot 170",0.6139,0.3861,0
"spot 171",0.9323,0.0677,0
"spot 172",0.1984,0.8016,0
"spot 173",0.6969,0.3031,0
"spot 174",0.9649,0.0351,0
"spot 176",0.3709,0.6204,0.0087
"spot 177",1,0,0
"spot 178",1,0,0
"spot 179",0.4456,0.5544,0
"spot 180",0.2588,0.7412,0
"spot 181",1,0,0
"spot 182",0.5819,0.4181,0
"spot 183",0.5246,0.4754,0
"spot 184",0.5717,0.4283,0
"spot 185",0.452,0.4706,0.0774
"spot 186",0.7702,0.2298,0
"spot 187",0.547,0.453,0
"spot 188",0.4993,0.5007,0
"spot 189",0.9691,0.0309,0
"spot 190",0.6652,0.3348,0
"spot 191",0.4781,0.5219,0
"spot 192",0.6811,0.3189,0
"spot 193",0.5601,0.4399,0
"spot 194",0.473,0.4865,0.0406
"spot 195",0.5198,0.4802,0
"spot 196",0.6664,0.3336,0
"spot 197",0.4442,0.5558,0
"spot 198",0.5948,0.4052,0
"spot 199",0.5484,0.4516,0
"spot 200",0.5402,0.4598,0
"spot 201",0.5061,0.4939,0
"spot 202",0.9596,0.0404,0
"spot 203",0.6989,0.3011,0
"spot 204",1,0,0
"spot 205",0.9107,0.0893,0
"spot 206",0.8744,0.1256,0
"spot 207",0.6851,0.3149,0
"spot 208",0.5542,0.4458,0
"spot 209",0.3365,0.6635,0
"spot 210",0.9079,0.0921,0
"spot 211",0.6806,0.3194,0
"spot 212",0.5425,0.4575,0
"spot 213",0.7365,0.2635,0
"spot 214",0.695,0.305,0
"spot 215",1,0,0
"spot 216",1,0,0
"spot 217",1,0,0
"spot 218",0.8624,0.1161,0.0214
"spot 219",1,0,0
"spot 220",0.4456,0.4502,0.1042
"spot 221",0.6213,0.3787,0
"spot 222",0.9813,0.0187,0
"spot 223",0.9453,0.0547,0
"spot 224",0.5984,0.3183,0.0833
"spot 225",0.609,0.391,0
"spot 226",0.7874,0.2126,0
"spot 227",0.7575,0.2425,0
"spot 228",0.7186,0.2814,0
"spot 229",0.6587,0.3413,0
"spot 230",0.8298,0.1702,0
"spot 231",1,0,0
"spot 232",0.8159,0.092,0.0921
"spot 233",1,0,0
"spot 234",0.9802,0,0.0198
"spot 235",0.4196,0.4802,0.1002
"spot 236",0.6382,0.3137,0.048
"spot 237",0.8843,0.1157,0
"spot 238",0.3105,0.6895,0
"spot 239",0.9315,0.0685,0
"spot 240",0.8174,0.1826,0
"spot 241",1,0,0
"spot 242",0.4713,0.5287,0
"spot 243",0.9938,0.0062,0
"spot 244",0.5516,0.4484,0
"spot 245",0.7915,0.2085,0
"spot 246",0.6721,0.3279,0
"spot 247",1,0,0
"spot 248",1,0,0
"spot 249",1,0,0
"spot 250",0.6628,0.3372,0
"spot 251",0.5028,0.4972,0
"spot 252",0.5576,0.4424,0
"spot 253",0.5247,0.4753,0
"spot 254",1,0,0
"spot 255",0.6737,0.3263,0
"spot 256",0.5811,0.4189,0
"spot 257",0.3002,0.5881,0.1117
"spot 258",0.9909,0.0091,0
"spot 259",0.8029,0.1971,0
"spot 260",1,0,0
"spot 261",1,0,0
"spot 262",0.4933,0.4843,0.0224
"spot 263",0.7458,0.2542,0
"spot 264",0.637,0.363,0
"spot 265",1,0,0
"spot 266",0.4503,0.5497,0
"spot 267",0.1907,0.569,0.2404
"spot 268",0.7359,0,0.2641
"spot 269",0.6059,0.3941,0
"spot 270",0.3598,0.6222,0.0181
"spot 271",1,0,0
"spot 272",0.5899,0.4101,0
"spot 273",0.6197,0.3803,0
"spot 274",0.7044,0.2956,0
"spot 275",0.6909,0.3091,0
"spot 276",0.6611,0.3389,0
"spot 278",0.6728,0.3272,0
"spot 279",1,0,0
"spot 280",0.9183,0.0817,0
"spot 281",0.9961,0.0039,0
"spot 282",0.5759,0.4241,0
"spot 283",0.2579,0.6884,0.0537
"spot 284",1,0,0
"spot 285",1,0,0
"spot 286",1,0,0
"spot 287",1,0,0
"spot 288",0.7456,0.2544,0
"spot 289",1,0,0
"spot 290",0.5717,0.4283,0
"spot 291",0.5047,0.4953,0
"spot 292",0.7506,0.2494,0
"spot 293",0.8588,0.1412,0
"spot 294",0.8881,0.1119,0
"spot 295",0.9679,0.0321,0
"spot 296",0.8022,0,0.1978
"spot 297",0.429,0.571,0
"spot 298",0.7869,0.2083,0.0047
"spot 299",0.5896,0.4104,0
"spot 300",0.534,0.466,0
"spot 301",0.5206,0.4794,0
"spot 303",0.709,0.291,0
"spot 304",0.8201,0.1106,0.0693
"spot 305",0.7975,0.2025,0
"spot 306",0.9262,0.0738,0
"spot 307",0.5697,0.4303,0
"spot 308",0.7486,0.2514,0
"spot 309",0.503,0.497,0
"spot 310",0.3985,0.6015,0
"spot 311",0.6169,0.3831,0
"spot 312",0.7132,0.2868,0
"spot 313",1,0,0
"spot 314",1,0,0
"spot 315",1,0,0
"spot 316",1,0,0
"spot 317",0.6643,0.3071,0.0286
"spot 318",0.2072,0.5402,0.2526
"spot 319",0.6783,0.3217,0
"spot 320",0.9471,0.0529,0
"spot 321",0.5793,0.4207,0
"spot 322",0.7113,0.2887,0
"spot 323",0,1,0
"spot 324",1,0,0
"spot 325",0.7171,0.2829,0
"spot 326",0.4273,0.5727,0
"spot 327",0.6802,0.3198,0
"spot 328",0.9086,0.0914,0
"spot 329",0.6126,0.3874,0
"spot 330",0.4491,0.433,0.1179
"spot 331",0.8469,0.1531,0
"spot 332",0.9801,0.0199,0
"spot 333",0.6533,0.3467,0
"spot 334",0.836,0.164,0
"spot 335",0.5464,0.4536,0
"spot 336",0.9857,0.0143,0
"spot 337",0.5695,0.4066,0.0238
"spot 338",1,0,0
"spot 339",1,0,0
"spot 340",1,0,0
"spot 341",1,0,0
"spot 342",1,0,0
"spot 343",0.4739,0.5261,0
"spot 344",0.7886,0.2114,0
"spot 345",0.8492,0.0632,0.0876
"spot 346",0.6842,0.3158,0
"spot 347",1,0,0
"spot 348",0.5953,0.4047,0
"spot 349",1,0,0
"spot 350",1,0,0
"spot 351",0.979,0.021,0
"spot 352",0.4653,0.5347,0
"spot 353",0.6456,0.3393,0.0151
"spot 354",1,0,0
"spot 355",0.8427,0.1573,0
"spot 356",1,0,0
"spot 357",0.4878,0.3616,0.1505
"spot 358",0.8776,0.1224,0
"spot 359",1,0,0
"spot 360",0.4857,0.5143,0
"spot 361",0.4494,0.5506,0
"spot 362",0.9896,0.0104,0
"spot 363",0.547,0.453,0
"spot 364",0.4504,0.5496,0
"spot 365",0.5717,0.4109,0.0175
"spot 366",0.6598,0.3402,0
"spot 367",1,0,0
"spot 368",1,0,0
"spot 369",1,0,0
"spot 370",1,0,0
"spot 371",1,0,0
"spot 372",0.6456,0.2215,0.1329
"spot 373",0.5448,0.4552,0
"spot 374",0.6899,0.3101,0
"spot 375",0.2724,0.7276,0
"spot 376",0.6082,0.1406,0.2512
"spot 377",0.9677,0.0323,0
"spot 378",0.4417,0.5583,0
"spot 379",0.8405,0.1595,0
"spot 380",0.6303,0.3697,0
"spot 381",0.7795,0.2205,0
"spot 382",1,0,0
"spot 383",0.3866,0.6134,0
"spot 384",0.2973,0.4103,0.2924
"spot 385",0.6672,0.3328,0
"spot 386",0.7382,0.2499,0.0119
"spot 387",0.6948,0.3052,0
"spot 388",1,0,0
"spot 389",0.6372,0.3628,0
"spot 390",0.4994,0.4073,0.0933
"spot 391",0.7777,0.2223,0
"spot 392",0.7414,0.2115,0.047
"spot 393",0.3537,0.6463,0
"spot 394",1,0,0
"spot 395",1,0,0
"spot 396",1,0,0
"spot 397",1,0,0
"spot 398",1,0,0
"spot 399",0.5567,0.44,0.0033
"spot 400",1,0,0
"spot 401",0.8863,0,0.1137
"spot 402",0.4823,0.5177,0
"spot 403",0.8676,0,0.1324
"spot 404",1,0,0
"spot 405",0.788,0.212,0
"spot 406",0.4271,0.5712,0.0017
"spot 407",1,0,0
"spot 408",1,0,0
"spot 409",1,0,0
"spot 410",0.6729,0.1454,0.1817
"spot 411",0.517,0.483,0
"spot 412",0.4231,0.5712,0.0058
"spot 413",0.4699,0.5301,0
"spot 414",0.9589,0,0.0411
"spot 415",0.9285,0.0715,0
"spot 416",0.5438,0.4562,0
"spot 417",0.4653,0.483,0.0517
"spot 418",0.4447,0.5553,0
"spot 419",0.3585,0.6415,0
"spot 420",0.5062,0.4938,0
"spot 421",0.4441,0.5559,0
"spot 422",1,0,0
"spot 424",1,0,0
"spot 426",0.5391,0.4609,0
"spot 428",1,0,0
"spot 429",0.49,0.51,0
"spot 430",0.8157,0,0.1843
"spot 432",0.9384,0.0186,0.043
"spot 433",1,0,0
"spot 434",0.8182,0.1818,0
"spot 435",1,0,0
"spot 436",1,0,0
"spot 437",0.7002,0.2998,0
"spot 438",0.6789,0.2125,0.1086
"spot 439",0.3371,0.6629,0
"spot 440",0.5225,0.2243,0.2532
"spot 441",1,0,0
"spot 442",1,0,0
"spot 443",0.412,0.588,0
"spot 444",0.6424,0.3576,0
"spot 445",0.6061,0.3939,0
"spot 446",1,0,0
"spot 447",0.4686,0.5314,0
"spot 448",0.8723,0.1277,0
"spot 449",1,0,0
"spot 451",1,0,0
"spot 452",1,0,0
"spot 454",0.6661,0.3339,0
"spot 456",0,1,0
"spot 457",1,0,0
"spot 458",0.402,0.598,0
"spot 460",0.9799,0.0201,0
"spot 461",1,0,0
"spot 462",0.5744,0.4256,0
"spot 463",0.7023,0.2977,0
"spot 464",0.8285,0.1715,0
"spot 465",0.785,0.215,0
"spot 466",0.3995,0.6005,0
"spot 467",0.709,0.291,0
"spot 468",0.7134,0.2866,0
"spot 469",0.467,0.533,0
"spot 470",0.8118,0,0.1882
"spot 471",0.9739,0.0261,0
"spot 472",0.7101,0.2899,0
"spot 473",0.3623,0.5778,0.0599
"spot 474",0.6584,0.1366,0.205
"spot 475",1,0,0
"spot 476",1,0,0
"spot 477",0.566,0.434,0
"spot 478",1,0,0
"spot 480",1,0,0
"spot 481",0.7016,0,0.2984
"spot 483",0.2132,0.7006,0.0861
"spot 486",0.8332,0.1668,0
"spot 487",0.4644,0.2586,0.277
"spot 488",0.6582,0.3418,0
"spot 489",0.7318,0.2682,0
"spot 490",0.3467,0.6533,0
"spot 491",1,0,0
"spot 492",1,0,0
"spot 493",0.2567,0.7433,0
"spot 494",0.2013,0.7987,0
"spot 495",0.5866,0.4134,0
"spot 496",0.347,0.582,0.0709
"spot 497",0.8159,0.1841,0
"spot 498",0.3006,0.6994,0
"spot 499",0.7281,0.2719,0
"spot 500",0.5062,0.4938,0
"spot 501",1,0,0
"spot 502",0.9152,0,0.0848
"spot 503",0.7783,0.0445,0.1772
"spot 504",1,0,0
"spot 506",1,0,0
"spot 508",1,0,0
"spot 509",0.469,0.53,0.001
"spot 510",0.7063,0.2937,0
"spot 511",0.5812,0.4188,0
"spot 512",0.6875,0.3125,0
"spot 513",0.8088,0.1912,0
"spot 515",1,0,0
"spot 516",0.7133,0.2867,0
"spot 517",0.6597,0.3403,0
"spot 518",0.3198,0.6442,0.0359
"spot 519",0.9507,0.0493,0
"spot 520",0.6473,0,0.3527
"spot 521",0.4831,0.5169,0
"spot 522",1,0,0
"spot 523",0.3038,0.6805,0.0158
"spot 524",0.5684,0.4316,0
"spot 525",1,0,0
"spot 526",0.7658,0.2342,0
"spot 527",0.5188,0.4812,0
"spot 528",0.7056,0.2944,0
"spot 529",0.7876,0.169,0.0434
"spot 531",1,0,0
"spot 532",1,0,0
"spot 533",0.8589,0.1411,0
"spot 534",0.8806,0.1194,0
"spot 536",0.6618,0.1601,0.1781
"spot 537",0.7419,0.2581,0
"spot 538",0.4628,0.5372,0
"spot 539",0.9897,0.0103,0
"spot 541",0.2469,0.7531,0
"spot 542",0.6842,0.3158,0
"spot 543",0.5397,0.4603,0
"spot 544",0.6573,0.3427,0
"spot 545",0.7601,0.2399,0
"spot 546",0.6546,0.2821,0.0633
"spot 547",1,0,0
"spot 548",1,0,0
"spot 549",0,1,0
"spot 550",0.6924,0,0.3076
"spot 551",1,0,0
"spot 552",0.7237,0.2763,0
"spot 553",0.611,0.389,0
"spot 554",0.4897,0.4026,0.1077
"spot 555",0.7685,0.2012,0.0303
"spot 556",0.7419,0.2581,0
"spot 557",1,0,0
"spot 558",1,0,0
"spot 560",0.7021,0.2979,0
"spot 561",0.8961,0.1039,0
"spot 562",0.8966,0.1034,0
"spot 563",0.3405,0.4891,0.1704
"spot 564",1,0,0
"spot 565",0.9552,0.0448,0
"spot 566",0.637,0.363,0
"spot 568",0.8726,0.1274,0
"spot 569",0.8348,0.1652,0
"spot 570",0.6592,0.1479,0.1929
"spot 571",0.7374,0.2626,0
"spot 572",0.495,0.505,0
"spot 573",0.3359,0.6641,0
"spot 574",1,0,0
"spot 575",0.6807,0,0.3193
"spot 576",0.5624,0.4376,0
"spot 577",0.6647,0.3353,0
"spot 578",0.4384,0.5616,0
"spot 579",0.4743,0.5257,0
"spot 580",0.6587,0.3413,0
"spot 581",0.6063,0.3937,0
"spot 582",0.8524,0.1476,0
"spot 584",1,0,0
"spot 585",1,0,0
"spot 586",0.8259,0.1741,0
"spot 587",0.8904,0.1096,0
"spot 589",0.6165,0.3835,0
"spot 590",0.6266,0.3734,0
"spot 591",0.5939,0.4061,0
"spot 592",1,0,0
"spot 593",1,0,0
"spot 595",1,0,0
"spot 596",1,0,0
"spot 597",0.8436,0.1564,0
"spot 598",1,0,0
"spot 599",0.854,0,0.146
"spot 600",0.9146,0.0854,0
"spot 601",1,0,0
"spot 602",0.6953,0.3047,0
"spot 603",0.7157,0.2843,0
"spot 604",0.9781,0,0.0219
"spot 605",0.4911,0.5089,0
"spot 606",0.4119,0.393,0.195
"spot 607",0.6962,0.3038,0
"spot 608",0.0815,0.9185,0
"spot 609",0.7586,0.2414,0
"spot 610",1,0,0
"spot 611",1,0,0
"spot 614",0.9357,0.0033,0.061
"spot 615",0.0662,0.9338,0
"spot 616",0.209,0.791,0
"spot 617",0.9289,0.0711,0
"spot 618",0.369,0.3157,0.3153
"spot 619",0.9812,0,0.0188
"spot 620",0.6882,0.3118,0
"spot 621",0.8612,0.1388,0
"spot 622",0.4759,0.5241,0
"spot 623",0.9673,0.0037,0.029
"spot 624",0.4163,0.5837,0
"spot 625",0.662,0.338,0
"spot 626",0.4516,0.5484,0
"spot 627",0.3988,0.6012,0
"spot 628",0.7966,0.0931,0.1103
"spot 629",0.9904,0.0096,0
"spot 630",1,0,0
"spot 631",1,0,0
"spot 632",0.4586,0.331,0.2103
"spot 633",1,0,0
"spot 634",0.9569,0,0.0431
"spot 635",0.7431,0.2569,0
"spot 636",1,0,0
"spot 637",1,0,0
"spot 638",0.6259,0.3741,0
"spot 642",0.6536,0.3464,0
"spot 644",0.3173,0.6827,0
"spot 646",1,0,0
"spot 647",0.8178,0.1822,0
"spot 648",0.6437,0.3563,0
"spot 649",0.4618,0.5382,0
"spot 650",0.9405,0,0.0595
"spot 651",0.3527,0.6473,0
"spot 652",0.9731,0,0.0269
"spot 653",0.802,0.198,0
"spot 654",0.7132,0.2868,0
"spot 655",0.8833,0.1167,0
"spot 656",1,0,0
"spot 657",0.6142,0.3579,0.0279
"spot 658",1,0,0
"spot 659",0.2625,0.7375,0
"spot 660",0.5411,0.3411,0.1178
"spot 662",0.1263,0.8737,0
"spot 665",0.5587,0.3006,0.1407
"spot 668",0.5281,0.4719,0
"spot 669",0.6746,0,0.3254
"spot 671",0.5866,0.4134,0
"spot 672",0.8167,0.1833,0
"spot 673",0.7292,0.2708,0
"spot 674",1,0,0
"spot 675",0.1698,0.8302,0
"spot 676",0.6834,0,0.3166
"spot 677",0.6817,0.2956,0.0227
"spot 678",0.5584,0.4416,0
"spot 679",0.862,0.138,0
"spot 680",1,0,0
"spot 681",0.9424,0.0576,0
"spot 682",0.8027,0.1973,0
"spot 683",0.8315,0.1685,0
"spot 684",1,0,0
"spot 685",0.3197,0.14,0.5404
"spot 686",1,0,0
"spot 688",1,0,0
"spot 690",0.6109,0.2244,0.1647
"spot 691",0.9273,0.0727,0
"spot 695",0.8204,0.144,0.0356
"spot 696",0.4242,0.5758,0
"spot 697",0.9893,0,0.0107
"spot 698",0.9641,0.0359,0
"spot 699",0.4187,0.5813,0
"spot 700",0,1,0
"spot 701",0.8225,0,0.1775
"spot 702",0.1782,0.8218,0
"spot 703",0.6985,0.3015,0
"spot 704",1,0,0
"spot 705",0.7454,0.2546,0
"spot 706",0.6945,0.3055,0
"spot 707",1,0,0
"spot 708",0.7485,0.2356,0.0159
"spot 709",1,0,0
"spot 710",0.8776,0,0.1224
"spot 711",0.8582,0,0.1418
"spot 714",1,0,0
"spot 715",0.6085,0.3915,0
"spot 718",0.3044,0.6956,0
"spot 719",1,0,0
"spot 720",0.1802,0.8198,0
"spot 721",1,0,0
"spot 722",0.7146,0.2854,0
"spot 723",0.5534,0.335,0.1116
"spot 724",0.9695,0.0305,0
"spot 725",0.8868,0.1132,0
"spot 726",0.7993,0.2007,0
"spot 727",0.1381,0.8619,0
"spot 728",0.5168,0.4832,0
"spot 729",0.649,0.351,0
"spot 730",0.4775,0.5225,0
"spot 731",0.6457,0.3543,0
"spot 732",0.7632,0.2368,0
"spot 733",0.9277,0.0723,0
"spot 734",0.8546,0.1454,0
"spot 735",0.9317,0.0683,0
"spot 736",1,0,0
"spot 738",0.504,0.0805,0.4155
"spot 739",1,0,0
"spot 740",0.9739,0.0261,0
"spot 743",0.515,0.485,0
"spot 745",0.7897,0.2103,0
"spot 746",0.5062,0.4938,0
"spot 747",1,0,0
"spot 748",0.9994,0,6e-04
"spot 749",0.4456,0.5544,0
"spot 750",0.4237,0.5763,0
"spot 751",0.384,0.616,0
"spot 752",0.9225,0.0775,0
"spot 753",0.933,0.067,0
"spot 754",0.5904,0.4096,0
"spot 755",0.4618,0.5382,0
"spot 756",1,0,0
"spot 757",0.3924,0.6076,0
"spot 758",0.5419,0.4512,0.0069
"spot 759",1,0,0
"spot 760",1,0,0
"spot 761",1,0,0
"spot 762",0.2741,0.7259,0
"spot 763",0.619,0.381,0
"spot 765",0.5573,0.4427,0
"spot 766",0.5975,0.2137,0.1889
"spot 767",0.6081,0,0.3919
"spot 768",0.3231,0.6456,0.0312
"spot 769",0.488,0.512,0
"spot 770",0,1,0
"spot 771",0.7658,0.1353,0.0989
"spot 772",0.6506,0.3494,0
"spot 773",0.7113,0.2887,0
"spot 774",0.8352,0.1648,0
"spot 775",0.4632,0.5368,0
"spot 776",1,0,0
"spot 777",1,0,0
"spot 778",0.2013,0.7987,0
"spot 779",0.7709,0.2291,0
"spot 780",0.7517,0.2483,0
"spot 781",0.8079,0.1921,0
"spot 782",0.7525,0,0.2475
"spot 783",0.6041,0.3959,0
"spot 784",0.5845,0.3537,0.0618
"spot 785",1,0,0
"spot 786",0.2875,0.7125,0
"spot 787",0.7811,0,0.2189
"spot 788",0.6142,0.3858,0
"spot 789",0.8862,0.1138,0
"spot 790",0.8891,0.1109,0
"spot 791",0.6685,0.3315,0
"spot 792",0.4475,0.5525,0
"spot 793",1,0,0
"spot 794",0.5342,0.4658,0
"spot 795",0.9558,0,0.0442
"spot 796",0.4977,0.5023,0
"spot 797",1,0,0
"spot 798",0.4975,0.5025,0
"spot 799",0.6674,0.3326,0
"spot 800",0.5296,0.4704,0
"spot 801",1,0,0
"spot 802",1,0,0
"spot 803",0.8559,0.1441,0
"spot 804",0.9597,0.0403,0
"spot 805",0.6664,0.3336,0
"spot 806",0.5983,0.4017,0
"spot 807",1,0,0
"spot 808",0.4285,0.5715,0
"spot 809",0.5744,0.4256,0
"spot 810",0.585,0.415,0
"spot 811",0.0402,0.9598,0
"spot 812",0.8307,0.1693,0
"spot 813",1,0,0
"spot 814",0.3569,0.6131,0.0301
"spot 815",1,0,0
"spot 817",0.6393,0.3607,0
"spot 818",0.4053,0.4132,0.1816
"spot 819",0.9055,0.0945,0
"spot 820",0.6959,0.3041,0
"spot 821",0.5736,0.4264,0
"spot 822",0.9914,0.0086,0
"spot 824",0.7575,0.2425,0
"spot 825",0.6846,0.3154,0
"spot 826",0.637,0.363,0
"spot 827",1,0,0
"spot 828",0.4298,0.5381,0.0321
"spot 829",0.4921,0.5079,0
"spot 830",0.8762,0.1238,0
"spot 831",1,0,0
"spot 832",0.8736,0.1264,0
"spot 833",0.7034,0.1517,0.1449
"spot 834",0.4756,0.5244,0
"spot 835",1,0,0
"spot 836",0.8375,0.1625,0
"spot 837",0.6315,0.3685,0
"spot 838",1,0,0
"spot 839",1,0,0
"spot 840",0.8046,0.1954,0
"spot 841",0.8223,0.1777,0
"spot 842",0.2876,0.7124,0
"spot 843",0.1585,0.8415,0
"spot 844",0.3899,0.4396,0.1705
"spot 845",0.7801,0.2199,0
"spot 846",0.8988,0,0.1012
"spot 847",0.486,0.514,0
"spot 848",0.5834,0.4166,0
"spot 849",0.3815,0.6185,0
"spot 850",1,0,0
"spot 851",0.6469,0.3531,0
"spot 852",0.6285,0.2797,0.0918
"spot 853",0.848,0.152,0
"spot 854",1,0,0
"spot 855",0.5328,0.4672,0
"spot 856",1,0,0
"spot 857",0.4846,0.447,0.0684
"spot 858",1,0,0
"spot 859",1,0,0
"spot 860",0.6888,0.1498,0.1615
"spot 861",0.53,0.2291,0.2409
"spot 862",0.9626,0.0374,0
"spot 863",1,0,0
"spot 864",1,0,0
"spot 865",0.4928,0.5072,0
"spot 866",0.1042,0.8958,0
"spot 867",0.4991,0.5009,0
"spot 868",0.7012,0.2018,0.097
"spot 869",0.7062,0.2938,0
"spot 870",0.7553,0.2447,0
"spot 871",0.7509,0.2491,0
"spot 872",0.8477,0.1523,0
"spot 873",0.5806,0.4194,0
"spot 874",0.9794,0.0206,0
"spot 875",1,0,0
"spot 876",1,0,0
"spot 877",0.6549,0.3451,0
"spot 878",1,0,0
"spot 879",0.8335,0.1665,0
