"","Keratinocyte","TSK","Melanocyte"
"spot 132",0.629,0.3451,0.0259
"spot 133",1,0,0
"spot 134",1,0,0
"spot 135",1,0,0
"spot 136",0.9291,0.0709,0
"spot 137",1,0,0
"spot 138",0.68,0.32,0
"spot 139",1,0,0
"spot 140",0.7541,0.2459,0
"spot 141",0.6686,0.3314,0
"spot 142",0.975,0.025,0
"spot 143",0.7932,0.2068,0
"spot 144",0.3491,0.6168,0.0341
"spot 145",0.468,0.5,0.032
"spot 146",0.9692,0.0308,0
"spot 147",0.8075,0.1925,0
"spot 148",0.4971,0.4479,0.055
"spot 149",0.5757,0.3577,0.0666
"spot 150",0.8002,0.1998,0
"spot 151",0.7835,0.2165,0
"spot 152",0.4443,0.5557,0
"spot 153",0.7485,0.2266,0.0249
"spot 154",0.8181,0.1819,0
"spot 155",0.3482,0.6518,0
"spot 156",1,0,0
"spot 157",1,0,0
"spot 158",1,0,0
"spot 159",1,0,0
"spot 160",1,0,0
"spot 161",0.9178,0.0822,0
"spot 162",1,0,0
"spot 163",0.665,0.335,0
"spot 164",0.9814,0.0186,0
"spot 165",0.9733,0.0267,0
"spot 166",0.9787,0.0213,0
"spot 167",0.9597,0.0403,0
"spot 168",0.7492,0.2508,0
"spot 169",0.9995,5e-04,0
"spot 170",1,0,0
"spot 171",0.8206,0.1794,0
"spot 172",0.7018,0.2982,0
"spot 173",0.4417,0.5583,0
"spot 174",0.3636,0.5051,0.1313
"spot 175",1,0,0
"spot 176",0.694,0.306,0
"spot 177",0.647,0.353,0
"spot 178",0.4739,0.5261,0
"spot 179",0.8658,0.1342,0
"spot 180",1,0,0
"spot 181",0.6789,0.3211,0
"spot 182",0.6356,0.3644,0
"spot 183",0.4171,0.5606,0.0223
"spot 184",0.6538,0.3462,0
"spot 185",0.88,0.12,0
"spot 186",1,0,0
"spot 187",1,0,0
"spot 188",0.9862,0.0138,0
"spot 189",1,0,0
"spot 190",0.7354,0.2646,0
"spot 191",1,0,0
"spot 192",0.622,0.378,0
"spot 193",0.597,0.403,0
"spot 194",0.7676,0.2324,0
"spot 195",1,0,0
"spot 196",0.7208,0.2792,0
"spot 197",0.6812,0.3188,0
"spot 198",1,0,0
"spot 199",0.7915,0.2085,0
"spot 200",0.6517,0.3483,0
"spot 201",0.7958,0.2042,0
"spot 202",0.7131,0.2447,0.0422
"spot 203",0.6933,0.3067,0
"spot 204",0.6079,0.3921,0
"spot 205",0.8777,0.1223,0
"spot 206",0.7857,0.2143,0
"spot 207",0.8011,0.1989,0
"spot 208",1,0,0
"spot 209",0.3661,0.6339,0
"spot 210",0.4062,0.5712,0.0226
"spot 211",0.7709,0.2291,0
"spot 212",0.6932,0.2492,0.0576
"spot 213",1,0,0
"spot 214",1,0,0
"spot 215",0.9276,0.0611,0.0113
"spot 216",0.825,0.175,0
"spot 217",0.9868,0.0132,0
"spot 218",1,0,0
"spot 219",0.87,0.13,0
"spot 220",1,0,0
"spot 221",0.895,0.105,0
"spot 222",0.8374,0.1626,0
"spot 223",0.7397,0.2603,0
"spot 224",0.5772,0.4228,0
"spot 225",0.622,0.378,0
"spot 226",0.7873,0.2127,0
"spot 227",1,0,0
"spot 228",0.6776,0.3224,0
"spot 229",0.8736,0.1264,0
"spot 230",0.743,0.257,0
"spot 231",0.9942,0.0058,0
"spot 232",0.7162,0.2838,0
"spot 233",0.6941,0.3059,0
"spot 234",0.9542,0.0458,0
"spot 235",0.7412,0.2588,0
"spot 236",0.7472,0.2528,0
"spot 237",0.7014,0.2986,0
"spot 238",0.7146,0.2854,0
"spot 239",0.7671,0.146,0.0869
"spot 240",0.9543,0,0.0457
"spot 241",1,0,0
"spot 242",0.6689,0.3311,0
"spot 243",0.8434,0.1566,0
"spot 244",0.6984,0.3016,0
"spot 245",0.6556,0.3444,0
"spot 246",0.9136,0.0864,0
"spot 247",0.7465,0.2535,0
"spot 248",1,0,0
"spot 249",0.8792,0.1208,0
"spot 250",0.9355,0.0645,0
"spot 251",0.7563,0.0958,0.1479
"spot 252",0.7625,0.2375,0
"spot 253",0.7053,0.2947,0
"spot 254",1,0,0
"spot 255",0.579,0.421,0
"spot 256",0.974,0.026,0
"spot 257",0.7533,0.2467,0
"spot 258",0.895,0.105,0
"spot 259",1,0,0
"spot 260",1,0,0
"spot 261",0.7378,0.2622,0
"spot 262",1,0,0
"spot 263",0.5839,0.4161,0
"spot 264",0.9172,0.0828,0
"spot 265",0.9659,0.0341,0
"spot 266",0.9572,0.0428,0
"spot 267",1,0,0
"spot 268",1,0,0
"spot 269",1,0,0
"spot 270",0.5762,0.4238,0
"spot 271",0.5168,0.3633,0.12
"spot 272",1,0,0
"spot 273",0.7921,0.2079,0
"spot 274",1,0,0
"spot 275",1,0,0
"spot 276",0.3814,0.6186,0
"spot 277",0.7069,0.2931,0
"spot 278",0.7601,0.2399,0
"spot 279",0.89,0.11,0
"spot 280",0.9246,0.0754,0
"spot 281",0.6842,0.3158,0
"spot 282",0.8703,0.1297,0
"spot 283",1,0,0
"spot 284",0.7566,0.2434,0
"spot 285",0.9649,0.0351,0
"spot 286",0.7467,0.2533,0
"spot 287",0.6233,0.3767,0
"spot 288",0.7603,0.2397,0
"spot 289",0.8399,0.1601,0
"spot 290",0.3917,0.5482,0.0602
"spot 291",0.5677,0.4323,0
"spot 292",0.5823,0.4177,0
"spot 293",0.7345,0.2655,0
"spot 294",0.5358,0.4531,0.011
"spot 295",1,0,0
"spot 296",1,0,0
"spot 297",1,0,0
"spot 298",0.5347,0.1866,0.2788
"spot 299",0.7802,0.2198,0
"spot 300",1,0,0
"spot 301",1,0,0
"spot 302",0.8982,0.1018,0
"spot 303",0.7647,0.2353,0
"spot 304",0.9475,0,0.0525
"spot 305",0.8909,0.1091,0
"spot 306",0.9647,0.0353,0
"spot 307",0.6145,0.3855,0
"spot 308",0.8639,0.129,0.007
"spot 309",0.5716,0.4284,0
"spot 310",0.941,0.059,0
"spot 311",0.7468,0.2532,0
"spot 312",0.8371,0.1629,0
"spot 313",0.8052,0.1948,0
"spot 314",0.6787,0.3213,0
"spot 315",0.8725,0.1275,0
"spot 316",0.6944,0.3056,0
"spot 317",0.6217,0.3783,0
"spot 318",0.9226,0.0774,0
"spot 319",0.6538,0.3462,0
"spot 320",0.6961,0.3039,0
"spot 321",0.9465,0.0535,0
"spot 322",1,0,0
"spot 323",1,0,0
"spot 324",1,0,0
"spot 325",1,0,0
"spot 326",0.8257,0.1743,0
"spot 327",1,0,0
"spot 328",0.9877,0.0123,0
"spot 329",1,0,0
"spot 330",0.8507,0.1493,0
"spot 331",1,0,0
"spot 332",0.7013,0.2987,0
"spot 333",0.7963,0.2037,0
"spot 334",0.7706,0.2294,0
"spot 335",0.9323,0.0677,0
"spot 336",0.984,0.016,0
"spot 337",0.628,0.372,0
"spot 338",0.4307,0.5693,0
"spot 339",1,0,0
"spot 340",0.7498,0.2502,0
"spot 341",0.7299,0.2701,0
"spot 342",1,0,0
"spot 343",1,0,0
"spot 344",0.8689,0.1311,0
"spot 345",0.7925,0.2075,0
"spot 346",0.5091,0.4909,0
"spot 347",0.8967,0.1033,0
"spot 348",0.4455,0.5545,0
"spot 349",0.8296,0.1704,0
"spot 350",1,0,0
"spot 351",1,0,0
"spot 352",1,0,0
"spot 353",1,0,0
"spot 354",0.9618,0.0382,0
"spot 355",1,0,0
"spot 356",0.9579,0.0421,0
"spot 357",0.9508,0,0.0492
"spot 358",0.8571,0.1429,0
"spot 359",0.9947,0.0053,0
"spot 360",1,0,0
"spot 361",0.8974,0.1026,0
"spot 362",1,0,0
"spot 363",0.7918,0.2082,0
"spot 364",0.9369,0.0631,0
"spot 365",1,0,0
"spot 366",0.9083,0.0917,0
"spot 367",0.7271,0.2729,0
"spot 368",0.3913,0.6087,0
"spot 369",0.9257,0.0743,0
"spot 370",0.9135,0,0.0865
"spot 371",1,0,0
"spot 372",0.8431,0.1569,0
"spot 373",0.9641,0.0359,0
"spot 374",0.9121,0.0879,0
"spot 375",0.8495,0.1505,0
"spot 376",0.825,0.175,0
"spot 377",0.306,0.694,0
"spot 378",1,0,0
"spot 379",1,0,0
"spot 380",1,0,0
"spot 381",1,0,0
"spot 382",0.7155,0.2845,0
"spot 383",0.8516,0.1484,0
"spot 384",1,0,0
"spot 385",1,0,0
"spot 386",0.5694,0.4306,0
"spot 387",0.7152,0.0222,0.2626
"spot 388",0.793,0.207,0
"spot 389",0.863,0.137,0
"spot 390",0.4567,0.349,0.1943
"spot 391",0.6321,0.3679,0
"spot 392",0.816,0.184,0
"spot 393",1,0,0
"spot 394",1,0,0
"spot 395",0.9828,0.0172,0
"spot 396",0.6737,0.3263,0
"spot 397",0.7366,0.2634,0
"spot 398",1,0,0
"spot 399",0.6984,0.1854,0.1162
"spot 400",0.8957,0.1043,0
"spot 401",0.6625,0.3375,0
"spot 402",0.543,0.3797,0.0773
"spot 403",0.4926,0.5074,0
"spot 404",0.7478,0.2522,0
"spot 405",0.693,0.307,0
"spot 406",1,0,0
"spot 407",0.8543,0.1457,0
"spot 408",1,0,0
"spot 409",1,0,0
"spot 410",0.8881,0.1119,0
"spot 411",0.8196,0.1804,0
"spot 412",0.9951,0,0.0049
"spot 413",0.828,0.172,0
"spot 414",0.8548,0.1452,0
"spot 415",0.8345,0.1655,0
"spot 416",1,0,0
"spot 417",0.859,0.141,0
"spot 418",0.8923,0,0.1077
"spot 419",0.9102,0.0898,0
"spot 420",0.8795,0.1205,0
"spot 421",1,0,0
"spot 422",0.5548,0.4452,0
"spot 423",0.8683,0.1317,0
"spot 424",0.8443,0.1557,0
"spot 425",1,0,0
"spot 426",1,0,0
"spot 427",1,0,0
"spot 428",0.7197,0.2803,0
"spot 429",0.7014,0.2986,0
"spot 430",0.7589,0.2411,0
"spot 431",0.7496,0.2504,0
"spot 432",1,0,0
"spot 433",1,0,0
"spot 434",1,0,0
"spot 435",1,0,0
"spot 436",1,0,0
"spot 437",1,0,0
"spot 438",0.8743,0.1257,0
"spot 439",0.1977,0.6418,0.1604
"spot 440",1,0,0
"spot 441",0.7743,0.147,0.0788
"spot 442",0.6775,0.3225,0
"spot 443",1,0,0
"spot 444",0.8739,0.1261,0
"spot 445",0.8234,0.1766,0
"spot 446",0.7467,0.2533,0
"spot 447",0.5786,0.4214,0
"spot 448",0.9331,0.0669,0
"spot 449",1,0,0
"spot 450",0.9014,0.0986,0
"spot 451",0.9396,0.0604,0
"spot 452",1,0,0
"spot 453",0.7148,0.2852,0
"spot 454",1,0,0
"spot 455",1,0,0
"spot 456",1,0,0
"spot 457",0.9286,0.0714,0
"spot 458",0.5107,0.4657,0.0235
"spot 459",0.7895,0.2105,0
"spot 460",0.4912,0.4881,0.0207
"spot 461",0.851,0.149,0
"spot 462",1,0,0
"spot 463",0.9555,0.0445,0
"spot 464",1,0,0
"spot 465",0.8668,0.1332,0
"spot 466",0.4551,0.5449,0
"spot 467",0.7594,0.2406,0
"spot 468",0.7958,0.2042,0
"spot 469",0.6766,0.3234,0
"spot 470",1,0,0
"spot 471",0.6773,0.3227,0
"spot 472",0.9349,0.0651,0
"spot 473",0.808,0.192,0
"spot 474",0.7775,0.2225,0
"spot 475",0.7439,0.2561,0
"spot 476",1,0,0
"spot 477",0.9763,0,0.0237
"spot 478",0.9126,0.0874,0
"spot 479",0.8995,0.1005,0
"spot 480",0.7767,0.2233,0
"spot 481",1,0,0
"spot 482",1,0,0
"spot 483",0.7064,0.2936,0
"spot 484",0.5556,0.3873,0.0571
"spot 485",0.8455,0.1545,0
"spot 486",0.9801,0.0199,0
"spot 487",0.8685,0.1315,0
"spot 488",1,0,0
"spot 489",1,0,0
"spot 490",1,0,0
"spot 491",1,0,0
"spot 492",0.5965,0.4035,0
"spot 493",0.7484,0.2516,0
"spot 494",0.4213,0.5108,0.0679
"spot 495",0.4978,0.5022,0
"spot 496",0.6656,0.3344,0
"spot 497",0.8405,0.0165,0.143
"spot 498",0.8187,0.1813,0
"spot 499",1,0,0
"spot 500",1,0,0
"spot 501",0.7218,0.2444,0.0337
"spot 502",0.5031,0.4969,0
"spot 503",1,0,0
"spot 504",1,0,0
"spot 505",1,0,0
"spot 506",1,0,0
"spot 507",0.8469,0.1531,0
"spot 508",0.9316,0.0684,0
"spot 509",0.9445,0.0555,0
"spot 510",0.7633,0.2367,0
"spot 511",0.6024,0.3976,0
"spot 512",0.5372,0.3601,0.1027
"spot 513",0.9107,0.0893,0
"spot 514",1,0,0
"spot 515",1,0,0
"spot 516",1,0,0
"spot 517",1,0,0
"spot 518",0.8885,0.1115,0
"spot 519",1,0,0
"spot 520",0.4381,0.5619,0
"spot 521",0.6873,0.3127,0
"spot 522",0.6222,0.3778,0
"spot 523",0.5917,0.4083,0
"spot 524",0.6947,0.3053,0
"spot 525",1,0,0
"spot 526",0.8539,0.1461,0
"spot 527",0.0904,0.9096,0
"spot 528",0.8989,0.1011,0
"spot 529",0.7885,0.2115,0
"spot 530",0.7975,0.2025,0
"spot 531",0.6035,0.3965,0
"spot 532",0.9058,0.0942,0
"spot 533",0.8879,0.1121,0
"spot 534",0.7045,0.2955,0
"spot 535",1,0,0
"spot 536",1,0,0
"spot 537",0.4093,0.3841,0.2067
"spot 538",0.588,0.412,0
"spot 539",1,0,0
"spot 540",1,0,0
"spot 541",1,0,0
"spot 542",1,0,0
"spot 543",1,0,0
"spot 544",1,0,0
"spot 545",0.7231,0.2769,0
"spot 546",0.4346,0.5654,0
"spot 547",0.7719,0,0.2281
"spot 548",0.7024,0.2756,0.022
"spot 549",1,0,0
"spot 550",1,0,0
"spot 551",0.9887,0.0113,0
"spot 552",0.621,0.379,0
"spot 553",0.952,0.048,0
"spot 554",1,0,0
"spot 555",0.8538,0.1462,0
"spot 556",0.91,0.09,0
"spot 557",0.6949,0.3051,0
"spot 558",0.6136,0.3864,0
"spot 559",0.6005,0.3995,0
"spot 560",0.9289,0.0711,0
"spot 561",1,0,0
"spot 562",0.9152,0.0848,0
"spot 563",0.5296,0.4704,0
"spot 564",0.7565,0.1702,0.0733
"spot 565",1,0,0
"spot 566",1,0,0
"spot 567",1,0,0
"spot 568",0.9224,0,0.0776
"spot 569",1,0,0
"spot 570",0.8985,0.1015,0
"spot 571",0.6606,0.3394,0
"spot 572",0.8081,0.033,0.1589
"spot 573",1,0,0
"spot 574",0.6023,0.3977,0
"spot 575",1,0,0
"spot 576",0.8569,0.1431,0
"spot 577",0.7181,0.2819,0
"spot 578",1,0,0
"spot 579",0.7976,0.2024,0
"spot 580",0.9398,0.0602,0
"spot 581",0.8135,0.1865,0
"spot 582",1,0,0
"spot 583",0.8725,0.1275,0
"spot 584",0.9928,0.0072,0
"spot 585",0.8617,0.1383,0
"spot 586",0.8369,0.1631,0
"spot 587",0.216,0.573,0.211
"spot 588",0.5094,0.2953,0.1952
"spot 589",0.8916,0.1084,0
"spot 590",1,0,0
"spot 591",1,0,0
"spot 592",1,0,0
"spot 593",1,0,0
"spot 594",0.8531,0.1469,0
"spot 595",0.9491,0.0509,0
"spot 596",0.6544,0.3456,0
"spot 597",0.8224,0.1776,0
"spot 598",0.5028,0.4972,0
"spot 599",0.5218,0.4782,0
"spot 600",1,0,0
"spot 601",0.8486,0.0891,0.0623
"spot 602",0.9287,0.0713,0
"spot 603",0.7479,0.2521,0
"spot 604",0.7033,0.2967,0
"spot 605",0.7094,0.2906,0
"spot 606",0.7813,0.2187,0
"spot 607",0.7357,0.2643,0
"spot 608",0.7159,0.2841,0
"spot 609",1,0,0
"spot 610",1,0,0
"spot 611",1,0,0
"spot 612",1,0,0
"spot 613",0.527,0.0848,0.3881
"spot 614",1,0,0
"spot 615",0.939,0.061,0
"spot 616",0.946,0.054,0
"spot 617",0.9315,0.0685,0
"spot 618",1,0,0
"spot 619",0.6897,0.3103,0
"spot 620",0.8791,0.1209,0
"spot 621",0.286,0.6297,0.0842
"spot 622",0.9319,0.0681,0
"spot 623",1,0,0
"spot 624",0.7756,0.2244,0
"spot 625",0.8762,0,0.1238
"spot 626",1,0,0
"spot 627",0.7526,0.2474,0
"spot 628",0.3839,0.6161,0
"spot 629",0.9261,0.0739,0
"spot 630",0.8024,0.1976,0
"spot 631",0.5484,0.4516,0
"spot 632",0.7279,0.2721,0
"spot 633",0.9435,0.0565,0
"spot 634",0.8385,0.1615,0
"spot 635",1,0,0
"spot 636",1,0,0
"spot 637",0.7405,0.2092,0.0504
"spot 638",1,0,0
"spot 639",0.9063,0,0.0937
"spot 640",0.9302,0.0698,0
"spot 641",0.9574,0.0426,0
"spot 642",0.6624,0.3376,0
"spot 643",0.3177,0.6823,0
"spot 644",1,0,0
"spot 645",1,0,0
"spot 646",1,0,0
"spot 647",0.7959,0.2041,0
"spot 648",1,0,0
"spot 649",1,0,0
"spot 650",0.3023,0.6977,0
"spot 651",0.8124,0.1876,0
"spot 652",0.7563,0.2437,0
"spot 653",0.6702,0.3298,0
"spot 654",1,0,0
"spot 655",0.7728,0.2272,0
"spot 656",0.6666,0.1163,0.217
"spot 657",0.8498,0.0469,0.1033
"spot 658",1,0,0
"spot 659",1,0,0
"spot 660",1,0,0
"spot 661",1,0,0
"spot 662",0.5275,0.2823,0.1901
"spot 663",1,0,0
"spot 664",0.9309,0.0691,0
"spot 665",0.8452,0.1548,0
"spot 666",0.9308,0.0692,0
"spot 667",1,0,0
"spot 668",0.9044,0.0956,0
"spot 669",0.6547,0.3453,0
"spot 670",0.6945,0.3055,0
"spot 671",0.5172,0.1638,0.319
"spot 672",0.465,0.535,0
"spot 673",1,0,0
"spot 674",1,0,0
"spot 675",1,0,0
"spot 676",0.8614,0.1386,0
"spot 677",0.9496,0.0504,0
"spot 678",0.8548,0.1108,0.0344
"spot 679",0.7615,0.2385,0
"spot 680",0.9981,0.0019,0
"spot 681",0.9376,0,0.0624
"spot 682",0.8425,0.1575,0
"spot 683",1,0,0
"spot 684",0.6747,0.3253,0
"spot 685",1,0,0
"spot 686",0.7503,0.2497,0
"spot 687",1,0,0
"spot 688",1,0,0
"spot 689",1,0,0
"spot 690",0.8692,0.1145,0.0163
"spot 691",0.7121,0.2879,0
"spot 692",0.7955,0.2045,0
"spot 693",0.6414,0.3586,0
"spot 694",0.8546,0,0.1454
"spot 695",0.6958,0.1632,0.141
"spot 696",0.2499,0.6791,0.071
"spot 697",0.5168,0.48,0.0032
"spot 698",0.6011,0.3229,0.076
"spot 699",1,0,0
"spot 700",1,0,0
"spot 701",0.6814,0.3186,0
"spot 702",0.8797,0.0881,0.0322
"spot 703",0.7852,0.2148,0
"spot 704",1,0,0
"spot 705",1,0,0
"spot 706",0.8432,0.1568,0
"spot 707",1,0,0
"spot 708",1,0,0
"spot 709",1,0,0
"spot 710",0.9429,0.0571,0
"spot 711",1,0,0
"spot 712",0.7979,0.2021,0
"spot 713",1,0,0
"spot 714",1,0,0
"spot 715",1,0,0
"spot 716",0.9087,0.0913,0
"spot 717",0.6671,0.3329,0
"spot 718",1,0,0
"spot 719",0.6019,0.2434,0.1547
"spot 720",0.7499,0.2501,0
"spot 721",1,0,0
"spot 722",0.3214,0.6722,0.0064
"spot 723",0.3602,0.6398,0
"spot 724",0.9643,0.0357,0
"spot 725",0.9893,0.0107,0
"spot 726",0.8721,0.1279,0
"spot 727",0.7645,0.2355,0
"spot 728",1,0,0
"spot 729",0.5063,0.4592,0.0345
"spot 730",1,0,0
"spot 731",1,0,0
"spot 732",0.9655,0.0345,0
"spot 733",0.4635,0.5365,0
"spot 734",0.9983,0.0017,0
"spot 735",0.8095,0.1905,0
"spot 736",0.801,0.199,0
"spot 737",0.7798,0.1893,0.031
"spot 738",1,0,0
"spot 739",0.8488,0.1512,0
"spot 740",1,0,0
"spot 741",0.804,0.196,0
"spot 742",0.8136,0.1864,0
"spot 743",0.7584,0.2416,0
"spot 744",0.9424,0.0576,0
"spot 745",0.8363,0.1637,0
"spot 746",0.9716,0.0284,0
"spot 747",0.9456,0,0.0544
"spot 748",0.905,0.095,0
"spot 749",0.9411,0.0589,0
"spot 750",0.9717,0.0283,0
"spot 751",0.6319,0.3681,0
"spot 753",0.9424,0.0576,0
"spot 754",1,0,0
"spot 755",1,0,0
"spot 756",0.7524,0.2476,0
"spot 757",1,0,0
"spot 758",0.8722,0.1278,0
"spot 759",1,0,0
"spot 760",0.5878,0.4122,0
"spot 761",1,0,0
"spot 762",1,0,0
"spot 763",1,0,0
"spot 764",1,0,0
"spot 765",0.8218,0.1268,0.0514
"spot 766",0.6985,0.3015,0
"spot 767",0.9814,0.0186,0
"spot 768",0.7498,0.2502,0
"spot 769",1,0,0
"spot 770",0.9155,0.0845,0
"spot 771",1,0,0
"spot 772",0.6323,0.3677,0
"spot 773",0.712,0.288,0
"spot 774",0.8329,0.1671,0
"spot 775",0.8624,0.1376,0
"spot 776",0.673,0.327,0
"spot 777",1,0,0
"spot 778",0.484,0.4453,0.0707
"spot 779",0.5969,0.4031,0
"spot 780",0.9967,0.0033,0
"spot 781",1,0,0
"spot 782",1,0,0
"spot 783",0.8756,0,0.1244
"spot 784",0.7546,0.2094,0.036
"spot 785",0.5823,0.4177,0
"spot 786",1,0,0
"spot 787",0.8587,0.1413,0
"spot 788",0.9187,0.0755,0.0058
"spot 789",0.6865,0.3135,0
"spot 790",1,0,0
"spot 791",0.7571,0.2429,0
"spot 792",1,0,0
"spot 793",0.9582,0.0418,0
"spot 794",1,0,0
"spot 795",0.6438,0.3562,0
"spot 796",0.6872,0.3128,0
"spot 797",0.3343,0.491,0.1747
"spot 798",0.5694,0.4306,0
"spot 799",0.4947,0.5053,0
"spot 800",1,0,0
"spot 801",0.2978,0.7022,0
"spot 802",1,0,0
"spot 803",1,0,0
"spot 804",1,0,0
"spot 805",0.8664,0.1336,0
"spot 806",1,0,0
"spot 807",0.8751,0.1249,0
"spot 808",1,0,0
"spot 809",0.7547,0.2453,0
"spot 810",0.7014,0.2986,0
"spot 811",0.5775,0.4225,0
"spot 812",0.5424,0.3955,0.062
"spot 813",0.646,0.354,0
"spot 814",0.6578,0.3422,0
"spot 815",0.6963,0.2934,0.0102
"spot 816",0.6396,0.3604,0
"spot 817",0.7914,0.2086,0
"spot 818",1,0,0
"spot 819",0.6505,0.3495,0
"spot 820",1,0,0
"spot 821",1,0,0
"spot 822",0.8733,0.1267,0
"spot 823",0.5459,0.3762,0.0779
"spot 824",0.7803,0.2197,0
"spot 825",1,0,0
"spot 826",0.9157,0.0843,0
"spot 827",0.4896,0.5104,0
"spot 828",1,0,0
"spot 829",1,0,0
"spot 830",1,0,0
"spot 831",1,0,0
"spot 832",1,0,0
"spot 833",1,0,0
"spot 834",0.9667,0,0.0333
"spot 835",0.9788,0.0212,0
"spot 836",0.64,0.36,0
"spot 837",1,0,0
"spot 838",1,0,0
"spot 839",0.9853,0.0147,0
"spot 840",1,0,0
"spot 841",0.566,0.3841,0.0499
"spot 842",0.5673,0.4327,0
"spot 843",0.7625,0.2375,0
"spot 844",0.8471,0.1529,0
"spot 845",0.9988,0,0.0012
"spot 846",0.8709,0.1291,0
"spot 847",1,0,0
