"method","set","value","inf","inte_situ","pattern"
"SPARKX-Inter","F1",1,"inf1","scenario 2","linear"
"SPARKX-Cauchy","F1",0.999000999000999,"inf1","scenario 2","linear"
"SPARKX-HMP","F1",0.267594327000268,"inf1","scenario 2","linear"
"SPARKX-PASTE","precision",0.1,"inf1","scenario 2","linear"
"SPARKX-AVE","precision",0.345125107851596,"inf1","scenario 2","linear"
"SPARKX-Union","precision",0.124038700074423,"inf1","scenario 2","linear"
"SPARKX-Inter","precision",1,"inf1","scenario 2","linear"
"SPARKX-Cauchy","precision",0.998003992015968,"inf1","scenario 2","linear"
"SPARKX-HMP","precision",0.154464009885697,"inf1","scenario 2","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 2","linear"
"SPARKX-AVE","recall",1,"inf1","scenario 2","linear"
"SPARKX-Union","recall",1,"inf1","scenario 2","linear"
"SPARKX-Inter","recall",1,"inf1","scenario 2","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 2","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 2","linear"
"SPARKX-PASTE","FPR",1,"inf1","scenario 2","linear"
"SPARKX-AVE","FPR",0.210833333333333,"inf1","scenario 2","linear"
"SPARKX-Union","FPR",0.784666666666667,"inf1","scenario 2","linear"
"SPARKX-Inter","FPR",0,"inf1","scenario 2","linear"
"SPARKX-Cauchy","FPR",0.000222222222222222,"inf1","scenario 2","linear"
"SPARKX-HMP","FPR",0.608222222222222,"inf1","scenario 2","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf1","scenario 3","linear"
"SPARKX-AVE","F1",0.252032008065024,"inf1","scenario 3","linear"
"SPARKX-Union","F1",0.181950509461427,"inf1","scenario 3","linear"
"SPARKX-Inter","F1",0.998003992015968,"inf1","scenario 3","linear"
"SPARKX-Cauchy","F1",0.551267916207277,"inf1","scenario 3","linear"
"SPARKX-HMP","F1",0.182149362477231,"inf1","scenario 3","linear"
"SPARKX-PASTE","precision",0.1,"inf1","scenario 3","linear"
"SPARKX-AVE","precision",0.14418571119602,"inf1","scenario 3","linear"
"SPARKX-Union","precision",0.100080064051241,"inf1","scenario 3","linear"
"SPARKX-Inter","precision",0.99601593625498,"inf1","scenario 3","linear"
"SPARKX-Cauchy","precision",0.380517503805175,"inf1","scenario 3","linear"
"SPARKX-HMP","precision",0.100200400801603,"inf1","scenario 3","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 3","linear"
"SPARKX-AVE","recall",1,"inf1","scenario 3","linear"
"SPARKX-Union","recall",1,"inf1","scenario 3","linear"
"SPARKX-Inter","recall",1,"inf1","scenario 3","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 3","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 3","linear"
"SPARKX-PASTE","FPR",1,"inf1","scenario 3","linear"
"SPARKX-AVE","FPR",0.6595,"inf1","scenario 3","linear"
"SPARKX-Union","FPR",0.999111111111111,"inf1","scenario 3","linear"
"SPARKX-Inter","FPR",0.000444444444444444,"inf1","scenario 3","linear"
"SPARKX-Cauchy","FPR",0.180888888888889,"inf1","scenario 3","linear"
"SPARKX-HMP","FPR",0.997777777777778,"inf1","scenario 3","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf1","scenario 4","linear"
"SPARKX-AVE","F1",0.255819859476848,"inf1","scenario 4","linear"
"SPARKX-Union","F1",0.181818181818182,"inf1","scenario 4","linear"
"SPARKX-Inter","F1",0.0430528375733855,"inf1","scenario 4","linear"
"SPARKX-Cauchy","F1",0.353606789250354,"inf1","scenario 4","linear"
"SPARKX-HMP","F1",0.181818181818182,"inf1","scenario 4","linear"
"SPARKX-PASTE","precision",0.1,"inf1","scenario 4","linear"
"SPARKX-AVE","precision",0.153979415061653,"inf1","scenario 4","linear"
"SPARKX-Union","precision",0.1,"inf1","scenario 4","linear"
"SPARKX-Inter","precision",1,"inf1","scenario 4","linear"
"SPARKX-Cauchy","precision",0.214776632302406,"inf1","scenario 4","linear"
"SPARKX-HMP","precision",0.1,"inf1","scenario 4","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 4","linear"
"SPARKX-AVE","recall",0.7555,"inf1","scenario 4","linear"
"SPARKX-Union","recall",1,"inf1","scenario 4","linear"
"SPARKX-Inter","recall",0.022,"inf1","scenario 4","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 4","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 4","linear"
"SPARKX-PASTE","FPR",1,"inf1","scenario 4","linear"
"SPARKX-AVE","FPR",0.461222222222222,"inf1","scenario 4","linear"
"SPARKX-Union","FPR",1,"inf1","scenario 4","linear"
"SPARKX-Inter","FPR",0,"inf1","scenario 4","linear"
"SPARKX-Cauchy","FPR",0.406222222222222,"inf1","scenario 4","linear"
"SPARKX-HMP","FPR",1,"inf1","scenario 4","linear"
"SPARKX-PASTE","F1",0.181851245681033,"inf3","scenario 1","linear"
"SPARKX-AVE","F1",0.457980306846806,"inf3","scenario 1","linear"
"SPARKX-Union","F1",0.210216523018709,"inf3","scenario 1","linear"
"SPARKX-Inter","F1",1,"inf3","scenario 1","linear"
"SPARKX-Cauchy","F1",0.997008973080758,"inf3","scenario 1","linear"
"SPARKX-HMP","F1",0.249438762783737,"inf3","scenario 1","linear"
"SPARKX-PASTE","precision",0.1000200040008,"inf3","scenario 1","linear"
"SPARKX-AVE","precision",0.297000297000297,"inf3","scenario 1","linear"
"SPARKX-Union","precision",0.117453605825699,"inf3","scenario 1","linear"
"SPARKX-Inter","precision",1,"inf3","scenario 1","linear"
"SPARKX-Cauchy","precision",0.99403578528827,"inf3","scenario 1","linear"
"SPARKX-HMP","precision",0.142490738102023,"inf3","scenario 1","linear"
"SPARKX-PASTE","recall",1,"inf3","scenario 1","linear"
"SPARKX-AVE","recall",1,"inf3","scenario 1","linear"
"SPARKX-Union","recall",1,"inf3","scenario 1","linear"
"SPARKX-Inter","recall",1,"inf3","scenario 1","linear"
"SPARKX-Cauchy","recall",1,"inf3","scenario 1","linear"
"SPARKX-HMP","recall",1,"inf3","scenario 1","linear"
"SPARKX-PASTE","FPR",0.999777777777778,"inf3","scenario 1","linear"
"SPARKX-AVE","FPR",0.263,"inf3","scenario 1","linear"
"SPARKX-Union","FPR",0.834888888888889,"inf3","scenario 1","linear"
"SPARKX-Inter","FPR",0,"inf3","scenario 1","linear"
"SPARKX-Cauchy","FPR",0.000666666666666667,"inf3","scenario 1","linear"
"SPARKX-HMP","FPR",0.668666666666667,"inf3","scenario 1","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf3","scenario 2","linear"
"SPARKX-AVE","F1",0.865988309157826,"inf3","scenario 2","linear"
"SPARKX-Union","F1",0.62111801242236,"inf3","scenario 2","linear"
"SPARKX-Inter","F1",1,"inf3","scenario 2","linear"
"SPARKX-Cauchy","F1",1,"inf3","scenario 2","linear"
"SPARKX-HMP","F1",0.838222967309304,"inf3","scenario 2","linear"
"SPARKX-PASTE","precision",0.1,"inf3","scenario 2","linear"
"SPARKX-AVE","precision",0.763650248186331,"inf3","scenario 2","linear"
"SPARKX-Union","precision",0.45045045045045,"inf3","scenario 2","linear"
"SPARKX-Inter","precision",1,"inf3","scenario 2","linear"
"SPARKX-Cauchy","precision",1,"inf3","scenario 2","linear"
"SPARKX-HMP","precision",0.721500721500722,"inf3","scenario 2","linear"
"SPARKX-PASTE","recall",1,"inf3","scenario 2","linear"
"SPARKX-AVE","recall",1,"inf3","scenario 2","linear"
"SPARKX-Union","recall",1,"inf3","scenario 2","linear"
"SPARKX-Inter","recall",1,"inf3","scenario 2","linear"
"SPARKX-Cauchy","recall",1,"inf3","scenario 2","linear"
"SPARKX-HMP","recall",1,"inf3","scenario 2","linear"
"SPARKX-PASTE","FPR",1,"inf3","scenario 2","linear"
"SPARKX-AVE","FPR",0.0343888888888889,"inf3","scenario 2","linear"
"SPARKX-Union","FPR",0.135555555555556,"inf3","scenario 2","linear"
"SPARKX-Inter","FPR",0,"inf3","scenario 2","linear"
"SPARKX-Cauchy","FPR",0,"inf3","scenario 2","linear"
"SPARKX-HMP","FPR",0.0428888888888889,"inf3","scenario 2","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf3","scenario 3","linear"
"SPARKX-AVE","F1",0.431918799265738,"inf3","scenario 3","linear"
"SPARKX-Union","F1",0.20669698222406,"inf3","scenario 3","linear"
"SPARKX-Inter","F1",1,"inf3","scenario 3","linear"
"SPARKX-Cauchy","F1",0.972762645914397,"inf3","scenario 3","linear"
"SPARKX-HMP","F1",0.243664717348928,"inf3","scenario 3","linear"
"SPARKX-PASTE","precision",0.1,"inf3","scenario 3","linear"
"SPARKX-AVE","precision",0.275444153697838,"inf3","scenario 3","linear"
"SPARKX-Union","precision",0.115260488704472,"inf3","scenario 3","linear"
"SPARKX-Inter","precision",1,"inf3","scenario 3","linear"
"SPARKX-Cauchy","precision",0.946969696969697,"inf3","scenario 3","linear"
"SPARKX-HMP","precision",0.13873473917869,"inf3","scenario 3","linear"
"SPARKX-PASTE","recall",1,"inf3","scenario 3","linear"
"SPARKX-AVE","recall",1,"inf3","scenario 3","linear"
"SPARKX-Union","recall",1,"inf3","scenario 3","linear"
"SPARKX-Inter","recall",1,"inf3","scenario 3","linear"
"SPARKX-Cauchy","recall",1,"inf3","scenario 3","linear"
"SPARKX-HMP","recall",1,"inf3","scenario 3","linear"
"SPARKX-PASTE","FPR",1,"inf3","scenario 3","linear"
"SPARKX-AVE","FPR",0.292277777777778,"inf3","scenario 3","linear"
"SPARKX-Union","FPR",0.852888888888889,"inf3","scenario 3","linear"
"SPARKX-Inter","FPR",0,"inf3","scenario 3","linear"
"SPARKX-Cauchy","FPR",0.00622222222222222,"inf3","scenario 3","linear"
"SPARKX-HMP","FPR",0.689777777777778,"inf3","scenario 3","linear"
"SPARKX-PASTE","F1",0.181487543189671,"inf3","scenario 4","linear"
"SPARKX-AVE","F1",0.348181924470946,"inf3","scenario 4","linear"
"SPARKX-Union","F1",0.183183733284484,"inf3","scenario 4","linear"
"SPARKX-Inter","F1",0,"inf3","scenario 4","linear"
"SPARKX-Cauchy","F1",0.99304865938431,"inf3","scenario 4","linear"
"SPARKX-HMP","F1",0.185873605947955,"inf3","scenario 4","linear"
"SPARKX-PASTE","precision",0.0998199639927986,"inf3","scenario 4","linear"
"SPARKX-AVE","precision",0.2272241721349,"inf3","scenario 4","linear"
"SPARKX-Union","precision",0.10082677959266,"inf3","scenario 4","linear"
"SPARKX-Inter","precision",0,"inf3","scenario 4","linear"
"SPARKX-Cauchy","precision",0.986193293885602,"inf3","scenario 4","linear"
"SPARKX-HMP","precision",0.102459016393443,"inf3","scenario 4","linear"
"SPARKX-PASTE","recall",0.998,"inf3","scenario 4","linear"
"SPARKX-AVE","recall",0.7445,"inf3","scenario 4","linear"
"SPARKX-Union","recall",1,"inf3","scenario 4","linear"
"SPARKX-Inter","recall",0,"inf3","scenario 4","linear"
"SPARKX-Cauchy","recall",1,"inf3","scenario 4","linear"
"SPARKX-HMP","recall",1,"inf3","scenario 4","linear"
"SPARKX-PASTE","FPR",1,"inf3","scenario 4","linear"
"SPARKX-AVE","FPR",0.281333333333333,"inf3","scenario 4","linear"
"SPARKX-Union","FPR",0.990888888888889,"inf3","scenario 4","linear"
"SPARKX-Inter","FPR",0,"inf3","scenario 4","linear"
"SPARKX-Cauchy","FPR",0.00155555555555556,"inf3","scenario 4","linear"
"SPARKX-HMP","FPR",0.973333333333333,"inf3","scenario 4","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf5","scenario 1","linear"
"SPARKX-AVE","F1",0.746547219111609,"inf5","scenario 1","linear"
"SPARKX-Union","F1",0.431592576607682,"inf5","scenario 1","linear"
"SPARKX-Inter","F1",1,"inf5","scenario 1","linear"
"SPARKX-Cauchy","F1",1,"inf5","scenario 1","linear"
"SPARKX-HMP","F1",0.651465798045603,"inf5","scenario 1","linear"
"SPARKX-PASTE","precision",0.1,"inf5","scenario 1","linear"
"SPARKX-AVE","precision",0.595592614651578,"inf5","scenario 1","linear"
"SPARKX-Union","precision",0.275178866263071,"inf5","scenario 1","linear"
"SPARKX-Inter","precision",1,"inf5","scenario 1","linear"
"SPARKX-Cauchy","precision",1,"inf5","scenario 1","linear"
"SPARKX-HMP","precision",0.483091787439613,"inf5","scenario 1","linear"
"SPARKX-PASTE","recall",1,"inf5","scenario 1","linear"
"SPARKX-AVE","recall",1,"inf5","scenario 1","linear"
"SPARKX-Union","recall",1,"inf5","scenario 1","linear"
"SPARKX-Inter","recall",1,"inf5","scenario 1","linear"
"SPARKX-Cauchy","recall",1,"inf5","scenario 1","linear"
"SPARKX-HMP","recall",1,"inf5","scenario 1","linear"
"SPARKX-PASTE","FPR",1,"inf5","scenario 1","linear"
"SPARKX-AVE","FPR",0.0754444444444445,"inf5","scenario 1","linear"
"SPARKX-Union","FPR",0.292666666666667,"inf5","scenario 1","linear"
"SPARKX-Inter","FPR",0,"inf5","scenario 1","linear"
"SPARKX-Cauchy","FPR",0,"inf5","scenario 1","linear"
"SPARKX-HMP","FPR",0.118888888888889,"inf5","scenario 1","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf5","scenario 2","linear"
"SPARKX-AVE","F1",0.973093063441126,"inf5","scenario 2","linear"
"SPARKX-Union","F1",0.925925925925926,"inf5","scenario 2","linear"
"SPARKX-Inter","F1",0.970133882595263,"inf5","scenario 2","linear"
"SPARKX-Cauchy","F1",1,"inf5","scenario 2","linear"
"SPARKX-HMP","F1",0.982318271119843,"inf5","scenario 2","linear"
"SPARKX-PASTE","precision",0.1,"inf5","scenario 2","linear"
"SPARKX-AVE","precision",0.960994636762555,"inf5","scenario 2","linear"
"SPARKX-Union","precision",0.862068965517241,"inf5","scenario 2","linear"
"SPARKX-Inter","precision",1,"inf5","scenario 2","linear"
"SPARKX-Cauchy","precision",1,"inf5","scenario 2","linear"
"SPARKX-HMP","precision",0.965250965250965,"inf5","scenario 2","linear"
"SPARKX-PASTE","recall",1,"inf5","scenario 2","linear"
"SPARKX-AVE","recall",0.9855,"inf5","scenario 2","linear"
"SPARKX-Union","recall",1,"inf5","scenario 2","linear"
"SPARKX-Inter","recall",0.942,"inf5","scenario 2","linear"
"SPARKX-Cauchy","recall",1,"inf5","scenario 2","linear"
"SPARKX-HMP","recall",1,"inf5","scenario 2","linear"
"SPARKX-PASTE","FPR",1,"inf5","scenario 2","linear"
"SPARKX-AVE","FPR",0.00444444444444444,"inf5","scenario 2","linear"
"SPARKX-Union","FPR",0.0177777777777778,"inf5","scenario 2","linear"
"SPARKX-Inter","FPR",0,"inf5","scenario 2","linear"
"SPARKX-Cauchy","FPR",0,"inf5","scenario 2","linear"
"SPARKX-HMP","FPR",0.004,"inf5","scenario 2","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf5","scenario 3","linear"
"SPARKX-AVE","F1",0.733122559047796,"inf5","scenario 3","linear"
"SPARKX-Union","F1",0.42571306939123,"inf5","scenario 3","linear"
"SPARKX-Inter","F1",0.970133882595263,"inf5","scenario 3","linear"
"SPARKX-Cauchy","F1",1,"inf5","scenario 3","linear"
"SPARKX-HMP","F1",0.645161290322581,"inf5","scenario 3","linear"
"SPARKX-PASTE","precision",0.1,"inf5","scenario 3","linear"
"SPARKX-AVE","precision",0.583654130885401,"inf5","scenario 3","linear"
"SPARKX-Union","precision",0.270416441319632,"inf5","scenario 3","linear"
"SPARKX-Inter","precision",1,"inf5","scenario 3","linear"
"SPARKX-Cauchy","precision",1,"inf5","scenario 3","linear"
"SPARKX-HMP","precision",0.476190476190476,"inf5","scenario 3","linear"
"SPARKX-PASTE","recall",1,"inf5","scenario 3","linear"
"SPARKX-AVE","recall",0.9855,"inf5","scenario 3","linear"
"SPARKX-Union","recall",1,"inf5","scenario 3","linear"
"SPARKX-Inter","recall",0.942,"inf5","scenario 3","linear"
"SPARKX-Cauchy","recall",1,"inf5","scenario 3","linear"
"SPARKX-HMP","recall",1,"inf5","scenario 3","linear"
"SPARKX-PASTE","FPR",1,"inf5","scenario 3","linear"
"SPARKX-AVE","FPR",0.0781111111111111,"inf5","scenario 3","linear"
"SPARKX-Union","FPR",0.299777777777778,"inf5","scenario 3","linear"
"SPARKX-Inter","FPR",0,"inf5","scenario 3","linear"
"SPARKX-Cauchy","FPR",0,"inf5","scenario 3","linear"
"SPARKX-HMP","FPR",0.122222222222222,"inf5","scenario 3","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf5","scenario 4","linear"
"SPARKX-AVE","F1",0.387212429040932,"inf5","scenario 4","linear"
"SPARKX-Union","F1",0.230520977408944,"inf5","scenario 4","linear"
"SPARKX-Inter","F1",0,"inf5","scenario 4","linear"
"SPARKX-Cauchy","F1",0.951781970649895,"inf5","scenario 4","linear"
"SPARKX-HMP","F1",0.28312570781427,"inf5","scenario 4","linear"
"SPARKX-PASTE","precision",0.1,"inf5","scenario 4","linear"
"SPARKX-AVE","precision",0.276097145291862,"inf5","scenario 4","linear"
"SPARKX-Union","precision",0.130276185513288,"inf5","scenario 4","linear"
"SPARKX-Inter","precision",0,"inf5","scenario 4","linear"
"SPARKX-Cauchy","precision",1,"inf5","scenario 4","linear"
"SPARKX-HMP","precision",0.16490765171504,"inf5","scenario 4","linear"
"SPARKX-PASTE","recall",1,"inf5","scenario 4","linear"
"SPARKX-AVE","recall",0.648,"inf5","scenario 4","linear"
"SPARKX-Union","recall",1,"inf5","scenario 4","linear"
"SPARKX-Inter","recall",0,"inf5","scenario 4","linear"
"SPARKX-Cauchy","recall",0.908,"inf5","scenario 4","linear"
"SPARKX-HMP","recall",1,"inf5","scenario 4","linear"
"SPARKX-PASTE","FPR",1,"inf5","scenario 4","linear"
"SPARKX-AVE","FPR",0.188777777777778,"inf5","scenario 4","linear"
"SPARKX-Union","FPR",0.741777777777778,"inf5","scenario 4","linear"
"SPARKX-Inter","FPR",0,"inf5","scenario 4","linear"
"SPARKX-Cauchy","FPR",0,"inf5","scenario 4","linear"
"SPARKX-HMP","FPR",0.562666666666667,"inf5","scenario 4","linear"
"SPARKX-PASTE","F1",0.181851245681033,"inf1","scenario 1","linear"
"SPARKX-AVE","F1",0.626272115234069,"inf1","scenario 1","linear"
"SPARKX-Union","F1",0.32520325203252,"inf1","scenario 1","linear"
"SPARKX-Inter","F1",1,"inf1","scenario 1","linear"
"SPARKX-Cauchy","F1",0.992063492063492,"inf1","scenario 1","linear"
"SPARKX-HMP","F1",0.47192071731949,"inf1","scenario 1","linear"
"SPARKX-PASTE","precision",0.1000200040008,"inf1","scenario 1","linear"
"SPARKX-AVE","precision",0.455892409391384,"inf1","scenario 1","linear"
"SPARKX-Union","precision",0.194174757281553,"inf1","scenario 1","linear"
"SPARKX-Inter","precision",1,"inf1","scenario 1","linear"
"SPARKX-Cauchy","precision",0.984251968503937,"inf1","scenario 1","linear"
"SPARKX-HMP","precision",0.308832612723904,"inf1","scenario 1","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 1","linear"
"SPARKX-AVE","recall",1,"inf1","scenario 1","linear"
"SPARKX-Union","recall",1,"inf1","scenario 1","linear"
"SPARKX-Inter","recall",1,"inf1","scenario 1","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 1","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 1","linear"
"SPARKX-PASTE","FPR",0.999777777777778,"inf1","scenario 1","linear"
"SPARKX-AVE","FPR",0.132611111111111,"inf1","scenario 1","linear"
"SPARKX-Union","FPR",0.461111111111111,"inf1","scenario 1","linear"
"SPARKX-Inter","FPR",0,"inf1","scenario 1","linear"
"SPARKX-Cauchy","FPR",0.00177777777777778,"inf1","scenario 1","linear"
"SPARKX-HMP","FPR",0.248666666666667,"inf1","scenario 1","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf1","scenario 2","linear"
"SPARKX-AVE","F1",0.327707684745207,"inf1","scenario 2","linear"
"SPARKX-Union","F1",0.181818181818182,"inf1","scenario 2","linear"
"SPARKX-Inter","F1",0.997008973080758,"inf1","scenario 2","linear"
"SPARKX-Cauchy","F1",0.355998576005696,"inf1","scenario 2","linear"
"SPARKX-HMP","F1",0.181851245681033,"inf1","scenario 2","linear"
"SPARKX-PASTE","precision",0.1,"inf1","scenario 2","linear"
"SPARKX-AVE","precision",0.195963158926122,"inf1","scenario 2","linear"
"SPARKX-Union","precision",0.1,"inf1","scenario 2","linear"
"SPARKX-Inter","precision",0.99403578528827,"inf1","scenario 2","linear"
"SPARKX-Cauchy","precision",0.21654395842356,"inf1","scenario 2","linear"
"SPARKX-HMP","precision",0.1000200040008,"inf1","scenario 2","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 2","linear"
"SPARKX-AVE","recall",1,"inf1","scenario 2","linear"
"SPARKX-Union","recall",1,"inf1","scenario 2","linear"
"SPARKX-Inter","recall",1,"inf1","scenario 2","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 2","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 2","linear"
"SPARKX-PASTE","FPR",1,"inf1","scenario 2","linear"
"SPARKX-AVE","FPR",0.455888888888889,"inf1","scenario 2","linear"
"SPARKX-Union","FPR",1,"inf1","scenario 2","linear"
"SPARKX-Inter","FPR",0.000666666666666667,"inf1","scenario 2","linear"
"SPARKX-Cauchy","FPR",0.402,"inf1","scenario 2","linear"
"SPARKX-HMP","FPR",0.999777777777778,"inf1","scenario 2","linear"
"SPARKX-PASTE","F1",0.181520552928338,"inf1","scenario 3","linear"
"SPARKX-AVE","F1",0.309861337051669,"inf1","scenario 3","linear"
"SPARKX-Union","F1",0.181818181818182,"inf1","scenario 3","linear"
"SPARKX-Inter","F1",0.999000999000999,"inf1","scenario 3","linear"
"SPARKX-Cauchy","F1",0.340483486550902,"inf1","scenario 3","linear"
"SPARKX-HMP","F1",0.181818181818182,"inf1","scenario 3","linear"
"SPARKX-PASTE","precision",0.0998399359743898,"inf1","scenario 3","linear"
"SPARKX-AVE","precision",0.183334861123843,"inf1","scenario 3","linear"
"SPARKX-Union","precision",0.1,"inf1","scenario 3","linear"
"SPARKX-Inter","precision",0.998003992015968,"inf1","scenario 3","linear"
"SPARKX-Cauchy","precision",0.205170291341814,"inf1","scenario 3","linear"
"SPARKX-HMP","precision",0.1,"inf1","scenario 3","linear"
"SPARKX-PASTE","recall",0.998,"inf1","scenario 3","linear"
"SPARKX-AVE","recall",1,"inf1","scenario 3","linear"
"SPARKX-Union","recall",1,"inf1","scenario 3","linear"
"SPARKX-Inter","recall",1,"inf1","scenario 3","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 3","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 3","linear"
"SPARKX-PASTE","FPR",0.999777777777778,"inf1","scenario 3","linear"
"SPARKX-AVE","FPR",0.494944444444444,"inf1","scenario 3","linear"
"SPARKX-Union","FPR",1,"inf1","scenario 3","linear"
"SPARKX-Inter","FPR",0.000222222222222222,"inf1","scenario 3","linear"
"SPARKX-Cauchy","FPR",0.430444444444444,"inf1","scenario 3","linear"
"SPARKX-HMP","FPR",1,"inf1","scenario 3","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf1","scenario 4","linear"
"SPARKX-AVE","F1",0.244943486020226,"inf1","scenario 4","linear"
"SPARKX-Union","F1",0.181818181818182,"inf1","scenario 4","linear"
"SPARKX-Inter","F1",0.454404945904173,"inf1","scenario 4","linear"
"SPARKX-Cauchy","F1",0.243486729973216,"inf1","scenario 4","linear"
"SPARKX-HMP","F1",0.181818181818182,"inf1","scenario 4","linear"
"SPARKX-PASTE","precision",0.1,"inf1","scenario 4","linear"
"SPARKX-AVE","precision",0.143867924528302,"inf1","scenario 4","linear"
"SPARKX-Union","precision",0.1,"inf1","scenario 4","linear"
"SPARKX-Inter","precision",1,"inf1","scenario 4","linear"
"SPARKX-Cauchy","precision",0.138619351261436,"inf1","scenario 4","linear"
"SPARKX-HMP","precision",0.1,"inf1","scenario 4","linear"
"SPARKX-PASTE","recall",1,"inf1","scenario 4","linear"
"SPARKX-AVE","recall",0.8235,"inf1","scenario 4","linear"
"SPARKX-Union","recall",1,"inf1","scenario 4","linear"
"SPARKX-Inter","recall",0.294,"inf1","scenario 4","linear"
"SPARKX-Cauchy","recall",1,"inf1","scenario 4","linear"
"SPARKX-HMP","recall",1,"inf1","scenario 4","linear"
"SPARKX-PASTE","FPR",1,"inf1","scenario 4","linear"
"SPARKX-AVE","FPR",0.5445,"inf1","scenario 4","linear"
"SPARKX-Union","FPR",1,"inf1","scenario 4","linear"
"SPARKX-Inter","FPR",0,"inf1","scenario 4","linear"
"SPARKX-Cauchy","FPR",0.690444444444444,"inf1","scenario 4","linear"
"SPARKX-HMP","FPR",1,"inf1","scenario 4","linear"
"SPARKX-PASTE","F1",0.181818181818182,"inf3","scenario 1","linear"
"SPARKX-AVE","F1",0.944064196365353,"inf3","scenario 1","linear"
"SPARKX-Union","F1",0.812347684809098,"inf3","scenario 1","linear"
"SPARKX-Inter","F1",1,"inf3","scenario 1","linear"
"SPARKX-Cauchy","F1",1,"inf3","scenario 1","linear"
"SPARKX-HMP","F1",0.928505106778087,"inf3","scenario 1","linear"
"SPARKX-PASTE","precision",0.1,"inf3","scenario 1","linear"
"SPARKX-AVE","precision",0.894054537326777,"inf3","scenario 1","linear"
"SPARKX-Union","precision",0.683994528043776,"inf3","scenario 1","linear"
"SPARKX-Inter","precision",1,"inf3","scenario 1","linear"
"SPARKX-Cauchy","precision",1,"inf3","scenario 1","linear"
"SPARKX-HMP","precision",0.866551126516464,"inf3","scenario 1","linear"
"SPARKX-PASTE","recall",1,"inf3","scenario 1","linear"
"SPARKX-AVE","recall",1,"inf3","scenario 1","linear"
"SPARKX-Union","recall",1,"inf3","scenario 1","linear"
"SPARKX-Inter","recall",1,"inf3","scenario 1","linear"
